hierarchy,store_id,year,week_num,metric,projected_value
Ex Department 1,7,2019,26,traffic,44116.381950409814
Ex Department 1,7,2019,27,traffic,41162.1510479303
Ex Department 1,7,2019,28,traffic,45632.65860032682
Ex Department 1,7,2019,29,traffic,44654.19153034316
Ex Department 1,7,2019,30,traffic,45563.901106860314
Ex Department 1,7,2019,31,traffic,43856.08366220333
Ex Department 1,7,2019,32,traffic,45917.2272203135
Ex Department 1,7,2019,33,traffic,44498.92492507917
Ex Department 1,7,2019,34,traffic,43470.43183227063
Ex Department 1,7,2019,35,traffic,46684.822117868534
Ex Department 1,7,2019,36,traffic,42431.03785244556
Ex Department 1,7,2019,37,traffic,40581.98560518561
Ex Department 1,7,2019,38,traffic,41637.82303856855
Ex Department 1,7,2019,39,traffic,42057.31925127682
Ex Department 1,7,2019,40,traffic,42415.6955276595
Ex Department 1,7,2019,41,traffic,37698.38363355226
Ex Department 1,7,2019,42,traffic,38077.63381121514
Ex Department 1,7,2019,43,traffic,37730.70804756043
Ex Department 1,7,2019,44,traffic,37790.79062301221
Ex Department 1,7,2019,45,traffic,36893.09718589026
Ex Department 1,7,2019,46,traffic,36649.662428498596
Ex Department 1,7,2019,47,traffic,34869.72645240303
Ex Department 1,7,2019,48,traffic,37006.705222626675
Ex Department 1,7,2019,49,traffic,37696.35755374166
Ex Department 1,7,2019,50,traffic,38124.71585491159
Ex Department 1,7,2019,51,traffic,37328.35659231415
Ex Department 1,7,2019,52,traffic,33027.3702388197
Ex Department 1,8,2019,1,revenue,50657.58999999999
Ex Department 1,8,2019,2,revenue,52854.810000000005
Ex Department 1,8,2019,3,revenue,48014.85
Ex Department 1,8,2019,4,revenue,47815.41
Ex Department 1,8,2019,5,revenue,46351.75
Ex Department 1,8,2019,6,revenue,44567.52
Ex Department 1,8,2019,7,revenue,44203.78
Ex Department 1,8,2019,8,revenue,45960.549999999996
Ex Department 1,8,2019,9,revenue,45986.06
Ex Department 1,8,2019,10,revenue,50858.147000000004
Ex Department 1,8,2019,11,revenue,44575.021349999995
Ex Department 1,8,2019,12,revenue,50242.849417499994
Ex Department 1,8,2019,13,revenue,57674.328388375
Ex Department 1,8,2019,14,revenue,49938.79980779375
Ex Department 1,8,2019,15,revenue,61521.991298183435
Ex Department 1,8,2019,16,revenue,67481.97386309261
Ex Department 1,8,2019,17,revenue,69474.79755624724
Ex Department 1,8,2019,18,revenue,67721.2069340596
Ex Department 1,8,2019,19,revenue,62330.69278076259
Ex Department 1,8,2019,20,revenue,65516.343419800716
Ex Department 1,8,2019,21,revenue,61723.63159079075
Ex Department 1,8,2019,22,revenue,65906.02167033029
Ex Department 1,8,2019,23,revenue,60600.4572538468
Ex Department 1,8,2019,24,revenue,62159.73261653915
Ex Department 1,8,2019,25,revenue,60036.033747366084
Ex Department 1,8,2019,26,revenue,59283.597934734404
Ex Department 1,8,2019,27,revenue,57382.0688314711
Ex Department 1,8,2019,28,revenue,55432.17027304468
Ex Department 1,8,2019,29,revenue,54990.16928669691
Ex Department 1,8,2019,30,revenue,54951.833251031756
Ex Department 1,8,2019,31,revenue,57135.62556358335
Ex Department 1,8,2019,32,revenue,57090.3232742625
Ex Department 1,8,2019,33,revenue,56438.714967100634
Ex Department 1,8,2019,34,revenue,59186.788796036926
Ex Department 1,8,2019,35,revenue,53638.51724544907
Ex Department 1,8,2019,36,revenue,57652.39904281235
Ex Department 1,8,2019,37,revenue,55047.78580179834
Ex Department 1,8,2019,38,revenue,52574.771714075905
Ex Department 1,8,2019,39,revenue,53464.64945307671
Ex Department 1,8,2019,40,revenue,50562.162286692415
Ex Department 1,8,2019,41,revenue,54169.15573003701
Ex Department 1,8,2019,42,revenue,47765.40243699933
Ex Department 1,8,2019,43,revenue,50441.47497533278
Ex Department 1,8,2019,44,revenue,48377.302861407064
Ex Department 1,8,2019,45,revenue,46918.27037365047
Ex Department 1,8,2019,46,revenue,47701.193204964686
Ex Department 1,8,2019,47,revenue,45152.05796847619
Ex Department 1,8,2019,48,revenue,45299.24992532645
Ex Department 1,8,2019,49,revenue,46491.91140794053
Ex Department 1,8,2019,50,revenue,46385.183014002716
Ex Department 1,8,2019,51,revenue,46340.766502151266
Ex Department 1,8,2019,52,revenue,37712.29054907967
Ex Department 1,8,2019,1,traffic,19321.0
Ex Department 1,8,2019,2,traffic,20482.0
Ex Department 1,8,2019,3,traffic,18929.0
Ex Department 1,8,2019,4,traffic,19206.0
Ex Department 1,8,2019,5,traffic,18897.0
Ex Department 1,8,2019,6,traffic,18376.0
Ex Department 1,8,2019,7,traffic,18619.0
Ex Department 1,8,2019,8,traffic,19796.0
Ex Department 1,8,2019,9,traffic,19760.0
Ex Department 1,8,2019,10,traffic,18370.35
Ex Department 1,8,2019,11,traffic,15917.7675
Ex Department 1,8,2019,12,traffic,18020.205875
Ex Department 1,8,2019,13,traffic,19745.61616875
Ex Department 1,8,2019,14,traffic,16240.2469771875
Ex Department 1,8,2019,15,traffic,19932.109326046877
Ex Department 1,8,2019,16,traffic,21453.21479234922
Ex Department 1,8,2019,17,traffic,21340.12553196668
Ex Department 1,8,2019,18,traffic,20906.681808565016
Ex Department 1,8,2019,19,traffic,18805.915898993266
Ex Department 1,8,2019,20,traffic,20135.061693942927
Ex Department 1,8,2019,21,traffic,18857.114778640076
Ex Department 1,8,2019,22,traffic,20442.520517572077
Ex Department 1,8,2019,23,traffic,18438.946543450682
Ex Department 1,8,2019,24,traffic,18550.443870623218
Ex Department 1,8,2019,25,traffic,18008.16606415438
Ex Department 1,8,2019,26,traffic,17952.874367362096
Ex Department 1,8,2019,27,traffic,17641.868085730202
Ex Department 1,8,2019,28,traffic,16659.111490016712
Ex Department 1,8,2019,29,traffic,16770.117064517548
Ex Department 1,8,2019,30,traffic,16687.772917743423
Ex Department 1,8,2019,31,traffic,17825.294063630594
Ex Department 1,8,2019,32,traffic,17577.470391812123
Ex Department 1,8,2019,33,traffic,17208.43361765273
Ex Department 1,8,2019,34,traffic,17848.674490097867
Ex Department 1,8,2019,35,traffic,15927.645865743387
Ex Department 1,8,2019,36,traffic,17252.72269272821
Ex Department 1,8,2019,37,traffic,16527.69808774716
Ex Department 1,8,2019,38,traffic,16039.826715536185
Ex Department 1,8,2019,39,traffic,16307.683960884744
Ex Department 1,8,2019,40,traffic,15689.122363979317
Ex Department 1,8,2019,41,traffic,17131.875397481137
Ex Department 1,8,2019,42,traffic,14596.21342842319
Ex Department 1,8,2019,43,traffic,15731.648073965745
Ex Department 1,8,2019,44,traffic,14878.883150491498
Ex Department 1,8,2019,45,traffic,14472.555114484912
Ex Department 1,8,2019,46,traffic,14951.37456700144
Ex Department 1,8,2019,47,traffic,14174.849576983406
Ex Department 1,8,2019,48,traffic,14568.748651546066
Ex Department 1,8,2019,49,traffic,15094.830509622534
Ex Department 1,8,2019,50,traffic,15453.716181877784
Ex Department 1,8,2019,51,traffic,15786.413345084502
Ex Department 1,8,2019,52,traffic,12850.369309157197
Ex Department 1,11,2019,1,revenue,58961.229999999996
Ex Department 1,11,2019,2,revenue,56494.60000000001
Ex Department 1,11,2019,3,revenue,54136.13
Ex Department 1,11,2019,4,revenue,55839.57
Ex Department 1,11,2019,5,revenue,56545.32000000001
Ex Department 1,11,2019,6,revenue,52996.98
Ex Department 1,11,2019,7,revenue,53126.590000000004
Ex Department 1,11,2019,8,revenue,54815.03999999999
Ex Department 1,11,2019,9,revenue,53262.19
Ex Department 1,11,2019,10,revenue,62520.076499999996
Ex Department 1,11,2019,11,revenue,61209.17432500001
Ex Department 1,11,2019,12,revenue,64292.24054125
Ex Department 1,11,2019,13,revenue,69821.0220683125
Ex Department 1,11,2019,14,revenue,71198.20717172814
Ex Department 1,11,2019,15,revenue,75216.61153031453
Ex Department 1,11,2019,16,revenue,84702.79310683026
Ex Department 1,11,2019,17,revenue,88528.58576217176
Ex Department 1,11,2019,18,revenue,94781.29605028035
Ex Department 1,11,2019,19,revenue,89104.20385279438
Ex Department 1,11,2019,20,revenue,90840.87504543409
Ex Department 1,11,2019,21,revenue,100194.67729770581
Ex Department 1,11,2019,22,revenue,93250.81016259108
Ex Department 1,11,2019,23,revenue,97770.66517072065
Ex Department 1,11,2019,24,revenue,92794.82392925667
Ex Department 1,11,2019,25,revenue,97129.35462571951
Ex Department 1,11,2019,26,revenue,101394.6798570055
Ex Department 1,11,2019,27,revenue,108501.52234985578
Ex Department 1,11,2019,28,revenue,103054.37896734854
Ex Department 1,11,2019,29,revenue,98458.07491571597
Ex Department 1,11,2019,30,revenue,100975.63316150177
Ex Department 1,11,2019,31,revenue,102127.17649457687
Ex Department 1,11,2019,32,revenue,101379.37460305571
Ex Department 1,11,2019,33,revenue,98678.10980614598
